Date,Open,High,Low,Close,Volume,Market Cap
"Jan 31, 2018",17.67,20.29,16.17,17.57,"66,817","53,009,900"
"Jan 30, 2018",21.01,21.06,16.10,17.64,"66,416","63,018,300"
"Jan 29, 2018",22.34,23.21,20.18,21.00,"73,014","67,032,000"
"Jan 28, 2018",22.62,24.55,21.75,22.37,"83,907","67,868,300"
"Jan 27, 2018",22.24,23.03,18.56,22.52,"133,716","66,734,800"
"Jan 26, 2018",21.90,24.25,20.69,22.25,"73,997","65,691,700"
"Jan 25, 2018",23.28,23.80,21.49,21.95,"124,108","69,830,600"
"Jan 24, 2018",23.42,28.71,22.56,22.96,"165,000","70,273,500"
"Jan 23, 2018",23.88,24.99,21.00,23.43,"95,794","71,639,800"
"Jan 22, 2018",23.25,26.30,22.24,23.93,"140,386","69,742,700"
"Jan 21, 2018",25.67,27.42,22.52,22.96,"178,213","77,023,100"
"Jan 20, 2018",24.56,28.05,22.94,25.63,"131,561","73,672,900"
"Jan 19, 2018",27.02,28.85,22.15,24.35,"99,422","81,071,800"
"Jan 18, 2018",25.38,30.27,21.47,27.27,"146,150","76,129,200"
"Jan 17, 2018",24.87,31.73,16.95,25.73,"138,631","74,606,400"
"Jan 16, 2018",32.21,32.68,23.92,26.10,"128,498","96,640,400"
"Jan 15, 2018",27.06,33.29,27.05,32.18,"130,794","81,187,300"
"Jan 14, 2018",32.08,34.23,26.83,27.06,"114,125","96,249,800"
"Jan 13, 2018",28.61,32.42,27.67,30.86,"133,054","85,818,500"
"Jan 12, 2018",24.32,29.15,23.72,28.17,"222,126","72,948,600"
"Jan 11, 2018",25.53,26.14,22.25,24.25,"85,897","76,589,100"
"Jan 10, 2018",23.72,26.94,22.38,25.56,"112,933","71,151,800"
"Jan 09, 2018",24.44,25.79,23.59,23.71,"110,788","73,317,900"
"Jan 08, 2018",24.10,31.05,22.68,24.50,"136,203","72,296,500"
"Jan 07, 2018",26.05,26.06,23.74,24.11,"117,935","78,139,700"
"Jan 06, 2018",25.54,27.79,24.38,26.19,"207,731","76,621,800"
"Jan 05, 2018",23.63,27.35,22.53,25.52,"139,129","70,878,700"
"Jan 04, 2018",23.96,28.90,21.32,24.43,"163,769","71,869,600"
"Jan 03, 2018",21.98,26.36,19.43,23.85,"226,949","65,951,400"
"Jan 02, 2018",19.57,23.59,18.40,22.04,"194,872","58,712,700"
"Jan 01, 2018",18.96,19.61,17.80,19.56,"40,414","56,869,200"
"Dec 31, 2017",18.81,20.81,17.17,18.91,"100,546","56,444,400"
"Dec 30, 2017",17.77,19.00,15.23,18.98,"107,227","53,304,900"
"Dec 29, 2017",17.09,20.33,16.93,17.80,"133,199","51,267,200"
"Dec 28, 2017",17.55,19.81,15.28,17.21,"103,425","52,642,900"
"Dec 27, 2017",20.79,21.49,16.21,17.58,"149,335","62,383,100"
"Dec 26, 2017",19.97,23.24,19.70,20.78,"106,455","59,916,800"
"Dec 25, 2017",21.31,22.59,19.37,19.99,"138,053","63,932,800"
"Dec 24, 2017",22.87,23.91,19.71,21.13,"83,955","68,619,800"
"Dec 23, 2017",22.77,26.08,22.53,22.65,"67,568","68,297,700"
"Dec 22, 2017",22.65,26.34,16.71,22.58,"136,920","67,956,300"
"Dec 21, 2017",26.38,27.72,22.55,23.18,"71,914","79,129,100"
"Dec 20, 2017",25.28,28.04,21.31,24.89,"137,987","75,838,200"
"Dec 19, 2017",30.40,34.89,22.87,25.30,"401,084","91,197,100"
"Dec 18, 2017",31.72,34.17,29.52,30.37,"141,424","95,145,900"
"Dec 17, 2017",33.85,35.95,29.55,31.64,"140,659","101,559,000"
"Dec 16, 2017",33.33,36.03,32.16,33.85,"135,518","99,992,400"
"Dec 15, 2017",37.57,41.67,27.39,33.29,"330,649","112,723,000"
"Dec 14, 2017",28.54,38.32,28.04,36.46,"284,076","85,608,700"
"Dec 13, 2017",26.57,31.08,24.70,28.60,"260,143","79,696,500"
"Dec 12, 2017",27.90,28.83,25.81,26.55,"174,641","83,688,000"
"Dec 11, 2017",26.67,31.12,24.29,26.39,"196,376","80,000,900"
"Dec 10, 2017",31.53,31.76,24.24,26.83,"216,072","94,595,600"
"Dec 09, 2017",31.76,37.89,27.67,31.33,"239,751","95,276,700"
"Dec 08, 2017",24.97,47.27,18.35,32.63,"404,923","74,902,400"
"Dec 07, 2017",25.40,33.34,18.39,24.91,"244,377","76,192,700"
"Dec 06, 2017",41.59,42.14,23.56,25.35,"480,133","124,781,000"
"Dec 05, 2017",45.45,47.36,36.43,41.68,"386,734","136,346,000"
"Dec 04, 2017",52.14,58.39,28.23,44.27,"829,176","156,429,000"
"Dec 03, 2017",43.15,70.31,42.69,49.31,"1,259,840","129,452,000"
"Dec 02, 2017",31.60,49.66,30.86,43.89,"845,375","94,795,000"
"Dec 01, 2017",24.98,33.92,24.96,31.62,"298,192","74,944,100"
"Nov 30, 2017",22.42,29.76,21.49,25.10,"339,668","67,247,700"
"Nov 29, 2017",22.87,29.44,20.34,22.09,"423,532","68,613,200"
"Nov 28, 2017",17.19,28.52,15.84,23.55,"786,988","51,576,800"
"Nov 27, 2017",13.48,17.17,13.08,17.15,"223,252","40,446,700"
"Nov 26, 2017",12.74,13.71,12.30,12.95,"71,370","38,217,700"
"Nov 25, 2017",12.34,13.17,11.95,12.74,"73,659","37,029,800"
"Nov 24, 2017",11.66,12.54,10.76,12.53,"134,562","34,981,400"
"Nov 23, 2017",11.44,12.14,10.61,11.68,"80,117","34,323,800"
"Nov 22, 2017",12.31,12.47,9.73,11.44,"87,032","36,941,400"
"Nov 21, 2017",12.03,12.36,10.69,12.36,"94,387","36,081,900"
"Nov 20, 2017",12.22,13.53,11.32,12.03,"111,522","36,671,100"
"Nov 19, 2017",11.07,13.34,9.58,12.25,"214,970","33,203,700"
"Nov 18, 2017",8.24,10.86,7.36,10.86,"101,107","24,718,100"
"Nov 17, 2017",7.45,8.46,7.45,8.27,"44,884","22,337,600"
"Nov 16, 2017",6.93,8.87,6.65,7.81,"62,654","20,788,600"
"Nov 15, 2017",6.09,7.42,6.09,6.90,"56,554","18,284,100"
"Nov 14, 2017",6.53,7.41,5.94,6.09,"45,366","19,578,300"
"Nov 13, 2017",5.92,7.72,5.66,6.51,"45,409","77,012,000"
"Nov 12, 2017",6.37,7.19,5.10,5.92,"82,816","82,809,300"
"Nov 11, 2017",8.34,8.92,5.54,6.37,"93,679","108,471,000"
"Nov 10, 2017",5.66,10.43,5.27,8.37,"199,843",-
"Nov 09, 2017",4.28,5.65,4.15,5.65,"29,576",-
"Nov 08, 2017",4.43,5.92,3.74,4.29,"33,532",-
"Nov 07, 2017",4.59,4.81,3.02,4.44,"36,173",-
"Nov 06, 2017",4.73,5.12,4.31,4.64,"32,530",-
"Nov 05, 2017",3.01,5.74,2.72,4.72,"49,392",-
"Nov 04, 2017",2.54,3.14,2.03,3.01,"19,611",-
"Nov 03, 2017",1.19,3.13,1.18,2.16,"50,171",-
"Nov 02, 2017",1.44,1.62,1.15,1.19,"17,365",-
