Date,Open,High,Low,Close,Volume,Market Cap
"Dec 24, 2017",0.039328,0.039328,0.029709,0.038572,"39,983","10,344,500"
"Dec 23, 2017",0.028041,0.051771,0.028041,0.038880,"93,839","7,375,760"
"Dec 22, 2017",0.030852,0.069107,0.025426,0.027803,"116,064","8,115,160"
"Dec 21, 2017",0.035471,0.037801,0.029833,0.031376,"44,835","9,330,020"
"Dec 20, 2017",0.034736,0.036193,0.030775,0.035431,"78,143","9,136,740"
"Dec 19, 2017",0.036939,0.040668,0.030163,0.034773,"84,405","9,716,170"
"Dec 18, 2017",0.031378,0.038740,0.025319,0.037025,"95,335","8,253,370"
"Dec 17, 2017",0.028924,0.032451,0.023072,0.031419,"183,709","7,607,880"
"Dec 16, 2017",0.023227,0.031917,0.021478,0.027883,"86,059","6,109,540"
"Dec 15, 2017",0.030531,0.032204,0.021680,0.023184,"83,771","8,030,680"
"Dec 14, 2017",0.031109,0.035027,0.025536,0.030438,"79,322","8,182,810"
"Dec 13, 2017",0.029441,0.038207,0.023070,0.031138,"145,051","7,744,130"
"Dec 12, 2017",0.029956,0.033696,0.018527,0.029421,"70,635","7,879,410"
"Dec 11, 2017",0.015100,0.032503,0.013573,0.030149,"96,527","3,971,950"
"Dec 10, 2017",0.022114,0.022114,0.014204,0.015105,"29,149","5,816,710"
"Dec 09, 2017",0.020425,0.032579,0.016047,0.022043,"37,510","5,372,430"
"Dec 08, 2017",0.013839,0.020531,0.011964,0.020425,"20,036","3,640,080"
"Dec 07, 2017",0.012807,0.014068,0.012446,0.013818,"8,447","3,368,760"
"Dec 06, 2017",0.014613,0.014644,0.012788,0.012851,"6,753","3,843,650"
"Dec 05, 2017",0.008354,0.015123,0.008310,0.014639,"8,264","2,197,480"
"Dec 04, 2017",0.007656,0.009778,0.006778,0.008348,"4,892","2,013,880"
"Dec 03, 2017",0.005806,0.007530,0.005304,0.007522,"2,348","1,527,210"
"Dec 02, 2017",0.005782,0.006672,0.005307,0.005805,"2,772","1,520,790"
"Dec 01, 2017",0.003559,0.006393,0.003374,0.005783,"1,339","936,067"
"Nov 30, 2017",0.004814,0.006620,0.003423,0.003568,"7,598","1,266,220"
"Nov 29, 2017",0.006470,0.006604,0.004676,0.004803,"5,941","1,701,840"
"Nov 28, 2017",0.007246,0.008250,0.006423,0.006470,"2,126","1,905,880"
"Nov 27, 2017",0.007114,0.007616,0.005869,0.007254,"5,196","1,871,190"
"Nov 26, 2017",0.006795,0.007148,0.006383,0.007114,"4,564","1,787,360"
"Nov 25, 2017",0.008304,0.008575,0.006766,0.006795,"4,435","2,184,300"
"Nov 24, 2017",0.009247,0.009761,0.007611,0.008312,"1,177","2,432,410"
"Nov 23, 2017",0.005519,0.010646,0.004887,0.009294,"3,589","1,451,580"
"Nov 22, 2017",0.004214,0.009141,0.004210,0.005501,"7,828","1,108,550"
"Nov 21, 2017",0.004824,0.005331,0.003964,0.004208,"4,840","1,269,000"
"Nov 20, 2017",0.005717,0.006781,0.004832,0.004832,"3,462","1,503,890"
"Nov 19, 2017",0.006724,0.006746,0.005397,0.005724,"8,519","1,768,720"
"Nov 18, 2017",0.006717,0.007000,0.005089,0.006742,"10,531","1,766,890"
"Nov 17, 2017",0.008217,0.008221,0.005201,0.006728,"7,204","2,161,480"
"Nov 16, 2017",0.008347,0.008363,0.006869,0.008224,"4,426","2,195,620"
"Nov 15, 2017",0.008470,0.008501,0.007007,0.008348,"5,605","2,227,910"
"Nov 14, 2017",0.008816,0.010078,0.007841,0.008465,"6,812","2,319,020"
"Nov 13, 2017",0.008970,0.009650,0.007932,0.008816,"7,358","2,359,290"
"Nov 12, 2017",0.009538,0.009692,0.008009,0.008954,"2,463","2,508,940"
"Nov 11, 2017",0.008686,0.010225,0.008399,0.009538,"6,926","2,284,680"
"Nov 10, 2017",0.009218,0.009894,0.008243,0.008703,"5,749","2,424,620"
"Nov 09, 2017",0.009090,0.009284,0.007759,0.009213,"3,920","2,390,910"
"Nov 08, 2017",0.008242,0.009435,0.007784,0.009137,"3,670","2,167,830"
"Nov 07, 2017",0.009035,0.009457,0.007972,0.008252,"3,998","2,376,600"
"Nov 06, 2017",0.008526,0.010564,0.007908,0.009033,"2,165","2,242,680"
"Nov 05, 2017",0.009930,0.010115,0.008360,0.008515,"2,445","2,611,820"
"Nov 04, 2017",0.010556,0.010822,0.008378,0.009919,"7,058","2,776,630"
"Nov 03, 2017",0.011221,0.011321,0.009398,0.010566,"4,781","2,951,520"
"Nov 02, 2017",0.007765,0.022715,0.007156,0.011327,"4,683","2,042,390"
"Nov 01, 2017",0.013482,0.013508,0.007747,0.007747,"2,574","3,546,310"
"Oct 31, 2017",0.016810,0.017030,0.013505,0.013505,"3,471","4,421,590"
"Oct 30, 2017",0.015660,0.016850,0.011366,0.016850,"2,649","4,119,040"
"Oct 29, 2017",0.013327,0.017001,0.012776,0.015124,"3,889","3,505,580"
"Oct 28, 2017",0.012138,0.013721,0.009383,0.013336,"1,982","3,192,580"
"Oct 27, 2017",0.019340,0.019560,0.011909,0.012127,"6,249","5,087,170"
"Oct 26, 2017",0.014184,0.019370,0.010140,0.019362,"11,927","3,731,010"
"Oct 25, 2017",0.008423,0.054892,0.007472,0.014215,"2,481","2,215,600"
"Oct 24, 2017",0.010223,0.010875,0.008408,0.008418,486,"2,688,940"
"Oct 23, 2017",0.011759,0.011766,0.009749,0.010232,571,-
"Oct 22, 2017",0.010219,0.011964,0.008460,0.011766,"2,408",-
"Oct 21, 2017",0.011220,0.014031,0.008811,0.010219,"1,837",-
"Oct 20, 2017",0.011542,0.011913,0.008647,0.011234,"1,403",-
"Oct 19, 2017",0.012204,0.013271,0.008937,0.011551,"2,076",-
"Oct 18, 2017",0.006784,0.012570,0.006784,0.012232,"1,287",-
"Oct 17, 2017",0.017499,0.017612,0.006857,0.006973,"3,328",-
"Oct 16, 2017",0.022202,0.022849,0.011678,0.017466,"1,218",-
"Oct 15, 2017",0.022485,0.023043,0.021495,0.022143,176,-
"Oct 14, 2017",0.016601,0.026923,0.016478,0.019800,"7,157",-
"Oct 13, 2017",0.024168,0.024179,0.016584,0.016584,"8,867",-
"Oct 12, 2017",0.024178,0.024329,0.023125,0.024215,"28,580",-
