Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.028866,0.030653,0.026220,0.030568,"34,390","9,978,140"
"Mar 29, 2018",0.031552,0.032019,0.028097,0.028814,"37,523","10,418,000"
"Mar 28, 2018",0.031999,0.032369,0.029074,0.031514,"27,865","10,565,500"
"Mar 27, 2018",0.032212,0.035700,0.030855,0.032767,"21,109","10,636,100"
"Mar 26, 2018",0.036186,0.038055,0.029275,0.032244,"62,107","11,948,000"
"Mar 25, 2018",0.031587,0.036270,0.028421,0.036270,"46,210","10,429,500"
"Mar 24, 2018",0.032575,0.043918,0.028755,0.031980,"55,369","10,755,700"
"Mar 23, 2018",0.032723,0.032909,0.026118,0.032204,"49,828",-
"Mar 22, 2018",0.035105,0.035128,0.030529,0.032727,"27,537",-
"Mar 21, 2018",0.037070,0.040575,0.033523,0.035081,"21,048",-
"Mar 20, 2018",0.032105,0.039481,0.030431,0.036908,"23,438",-
"Mar 19, 2018",0.030906,0.038942,0.029754,0.031827,"14,852",-
"Mar 18, 2018",0.034042,0.035688,0.027917,0.031007,"11,141",-
"Mar 17, 2018",0.037591,0.037738,0.031285,0.034079,"14,972",-
"Mar 16, 2018",0.034520,0.039353,0.032821,0.037549,"30,985",-
"Mar 15, 2018",0.035736,0.038239,0.031900,0.034122,"24,019",-
"Mar 14, 2018",0.041695,0.045205,0.032655,0.035730,"51,122",-
"Mar 13, 2018",0.045793,0.050100,0.038198,0.041678,"55,749",-
"Mar 12, 2018",0.043004,0.044797,0.037424,0.042803,"23,926",-
"Mar 11, 2018",0.043632,0.049621,0.039290,0.043076,"46,072",-
"Mar 10, 2018",0.048505,0.056282,0.043369,0.043765,"55,235",-
"Mar 09, 2018",0.044027,0.048630,0.039494,0.048515,"19,573",-
"Mar 08, 2018",0.049431,0.053063,0.041300,0.044127,"25,697",-
"Mar 07, 2018",0.058051,0.059874,0.043943,0.049497,"56,682",-
"Mar 06, 2018",0.061427,0.068763,0.056534,0.058039,"67,438",-
"Mar 05, 2018",0.069260,0.077319,0.061475,0.061477,"37,159",-
"Mar 04, 2018",0.078025,0.078055,0.066549,0.069268,"49,443",-
"Mar 03, 2018",0.074700,0.083478,0.069484,0.078089,"56,164",-
"Mar 02, 2018",0.080723,0.090722,0.073920,0.074766,"57,807",-
"Mar 01, 2018",0.092033,0.093050,0.066131,0.080805,"83,051",-
"Feb 28, 2018",0.124561,0.124561,0.072675,0.096563,"45,758",-
"Feb 27, 2018",0.111656,0.134055,0.089146,0.124545,"69,020",-
"Feb 26, 2018",0.122529,0.124331,0.092459,0.111395,"66,111",-
"Feb 25, 2018",0.166821,0.201605,0.122525,0.122525,"68,932",-
"Feb 24, 2018",0.125835,0.169211,0.114616,0.165092,"40,727",-
"Feb 23, 2018",0.115411,0.131513,0.113519,0.125952,"29,647",-
"Feb 22, 2018",0.113047,0.119740,0.104718,0.115268,"14,053",-
"Feb 21, 2018",0.126296,0.130704,0.109092,0.118236,"29,911",-
"Feb 20, 2018",0.134112,0.139484,0.126305,0.126435,"12,335",-
"Feb 19, 2018",0.134659,0.143070,0.124899,0.134075,"22,052",-
"Feb 18, 2018",0.146690,0.150866,0.124887,0.135124,"20,826",-
"Feb 17, 2018",0.151475,0.172019,0.134931,0.146540,"55,403",-
"Feb 16, 2018",0.118030,0.151777,0.095594,0.151407,"109,356",-
"Feb 15, 2018",0.118221,0.118221,0.118165,0.118165,"34,753",-
