Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.061516,0.062662,0.055100,0.058112,"2,905,310","21,023,200"
"Mar 24, 2018",0.057703,0.065736,0.056966,0.063073,"2,944,670","19,720,200"
"Mar 23, 2018",0.051100,0.056895,0.047558,0.056895,"2,821,550","17,463,600"
"Mar 22, 2018",0.046382,0.052434,0.044839,0.051115,"2,647,210","15,851,200"
"Mar 21, 2018",0.042493,0.049648,0.041757,0.046173,"2,754,930","14,522,100"
"Mar 20, 2018",0.041646,0.043612,0.037574,0.042410,"2,947,320","14,232,800"
"Mar 19, 2018",0.040793,0.044629,0.038221,0.041222,"2,584,260","13,941,100"
"Mar 18, 2018",0.046971,0.046971,0.032439,0.040973,"3,080,410","16,052,600"
"Mar 17, 2018",0.053184,0.053184,0.045303,0.046541,"2,560,800","18,176,000"
"Mar 16, 2018",0.052978,0.055493,0.050918,0.053121,"2,960,020","18,105,500"
"Mar 15, 2018",0.056567,0.056998,0.051457,0.053630,"3,004,620","18,823,000"
"Mar 14, 2018",0.066593,0.066987,0.054263,0.056118,"3,259,100","22,159,200"
"Mar 13, 2018",0.069293,0.070793,0.065114,0.066374,"1,624,740","23,055,600"
"Mar 12, 2018",0.069309,0.071062,0.066342,0.069532,"4,193,400","23,052,300"
"Mar 11, 2018",0.066218,0.072244,0.064976,0.069464,"2,034,260","22,024,100"
"Mar 10, 2018",0.070212,0.074953,0.063918,0.066471,"2,025,580","23,352,500"
"Mar 09, 2018",0.064042,0.073130,0.056114,0.071038,"2,485,870","21,300,400"
"Mar 08, 2018",0.075848,0.078669,0.064306,0.064852,"2,626,200","25,228,700"
"Mar 07, 2018",0.087854,0.095819,0.070799,0.075394,"2,885,350","29,222,200"
"Mar 06, 2018",0.115349,0.115349,0.069008,0.087398,"5,599,720","38,367,300"
"Mar 05, 2018",0.126587,0.128791,0.115346,0.115730,"3,813,020","42,105,400"
"Mar 04, 2018",0.128174,0.128780,0.122519,0.126614,"3,416,930","42,633,200"
"Mar 03, 2018",0.131302,0.136925,0.128556,0.128556,"3,801,220","43,673,700"
"Mar 02, 2018",0.126496,0.134172,0.126496,0.131460,"3,768,180","42,075,300"
"Mar 01, 2018",0.119798,0.129899,0.117467,0.126903,"3,426,870","39,847,500"
"Feb 28, 2018",0.127620,0.138289,0.117432,0.118704,"4,348,100","42,449,000"
"Feb 27, 2018",0.128808,0.139269,0.123387,0.127405,"3,553,090","42,844,300"
"Feb 26, 2018",0.123570,0.130004,0.119769,0.128345,"3,404,890","40,175,300"
"Feb 25, 2018",0.122371,0.145710,0.120209,0.123388,"3,707,430","39,785,400"
"Feb 24, 2018",0.130629,0.135686,0.116918,0.122412,"3,312,520","42,470,300"
"Feb 23, 2018",0.119617,0.137123,0.114929,0.131271,"3,927,690","38,890,100"
"Feb 22, 2018",0.135080,0.137476,0.118505,0.119756,"3,567,230","43,917,300"
"Feb 21, 2018",0.120209,0.157136,0.117288,0.135198,"4,928,560","39,082,500"
"Feb 20, 2018",0.148304,0.160109,0.116723,0.120441,"4,354,870",-
"Feb 19, 2018",0.151377,0.175217,0.142409,0.148286,"5,017,000",-
"Feb 18, 2018",0.166561,0.168871,0.139746,0.151979,"4,398,240",-
"Feb 17, 2018",0.161754,0.177492,0.158960,0.166284,"5,275,950",-
"Feb 16, 2018",0.176041,0.178716,0.158124,0.161902,"4,857,910",-
"Feb 15, 2018",0.185052,0.200323,0.164785,0.176037,"6,728,770",-
"Feb 14, 2018",0.156130,0.202278,0.156130,0.185020,"5,072,300",-
"Feb 13, 2018",0.176543,0.178985,0.152779,0.156313,"5,177,070",-
"Feb 12, 2018",0.182510,0.186657,0.170072,0.176417,"5,334,610",-
"Feb 11, 2018",0.179413,0.208173,0.162470,0.181593,"5,674,830",-
"Feb 10, 2018",0.208062,0.228631,0.161066,0.180017,"7,383,110",-
"Feb 09, 2018",0.202247,0.221561,0.184443,0.210383,"13,688,200",-
"Feb 08, 2018",0.199735,0.216208,0.191266,0.200698,"13,632,500",-
"Feb 07, 2018",0.206126,0.254231,0.181801,0.200897,"14,492,100",-
"Feb 06, 2018",0.153178,0.206596,0.125386,0.206596,"11,212,900",-
"Feb 05, 2018",0.206005,0.223347,0.135014,0.152759,"9,867,300",-
"Feb 04, 2018",0.290018,0.291151,0.185653,0.207873,"16,392,000",-
"Feb 03, 2018",0.254061,0.301429,0.235030,0.289524,"18,250,200",-
"Feb 02, 2018",0.314597,0.315004,0.207703,0.252458,"12,919,500",-
