Date,Open,High,Low,Close,Volume,Market Cap
"Nov 04, 2017",2.48,2.60,2.33,2.33,"3,785,590","243,361,000"
"Nov 03, 2017",2.06,2.62,2.03,2.50,"4,311,070","202,038,000"
"Nov 02, 2017",2.10,2.44,1.86,2.12,"4,508,180","205,802,000"
"Nov 01, 2017",2.44,2.74,2.10,2.11,"4,846,850","239,177,000"
"Oct 31, 2017",2.44,2.62,2.39,2.45,"2,396,030","238,722,000"
"Oct 30, 2017",2.44,2.52,2.36,2.43,"1,091,420","239,287,000"
"Oct 29, 2017",2.43,2.54,2.35,2.46,"1,971,910","238,334,000"
"Oct 28, 2017",2.52,2.56,2.42,2.44,"884,997","247,095,000"
"Oct 27, 2017",2.53,2.62,2.45,2.51,"1,555,670","247,450,000"
"Oct 26, 2017",2.59,2.68,2.48,2.52,"1,397,000","253,433,000"
"Oct 25, 2017",2.86,2.86,2.42,2.55,"1,943,620","280,614,000"
"Oct 24, 2017",2.48,2.97,2.38,2.86,"3,729,760","243,104,000"
"Oct 23, 2017",2.64,2.66,2.39,2.49,"1,257,450","258,841,000"
"Oct 22, 2017",2.57,2.75,2.51,2.64,"1,550,000","251,521,000"
"Oct 21, 2017",2.78,2.79,2.41,2.57,"2,184,140","272,226,000"
"Oct 20, 2017",2.85,3.00,2.76,2.79,"2,512,890","279,466,000"
"Oct 19, 2017",2.83,2.95,2.70,2.84,"1,640,660","276,951,000"
"Oct 18, 2017",2.79,2.96,2.57,2.83,"1,743,560","273,833,000"
"Oct 17, 2017",2.75,2.88,2.64,2.81,"1,798,310","269,901,000"
"Oct 16, 2017",2.86,2.91,2.62,2.78,"1,688,650","280,615,000"
"Oct 15, 2017",2.84,3.01,2.70,2.86,"1,642,730","278,360,000"
"Oct 14, 2017",2.64,3.15,2.59,2.85,"2,979,080","258,565,000"
"Oct 13, 2017",2.65,2.88,2.55,2.64,"2,875,550","259,790,000"
"Oct 12, 2017",2.83,2.94,2.49,2.67,"2,966,810","277,730,000"
"Oct 11, 2017",2.59,3.00,2.59,2.81,"3,257,040","253,874,000"
"Oct 10, 2017",2.39,2.72,2.22,2.57,"3,457,060","233,759,000"
"Oct 09, 2017",2.20,2.50,2.10,2.37,"2,929,330","215,519,000"
"Oct 08, 2017",2.53,2.57,2.16,2.23,"3,053,070","247,979,000"
"Oct 07, 2017",2.59,2.63,2.48,2.56,"1,069,940","254,126,000"
"Oct 06, 2017",2.74,2.75,2.53,2.58,"1,589,490","268,501,000"
"Oct 05, 2017",2.47,2.77,2.38,2.74,"2,616,290","241,938,000"
"Oct 04, 2017",2.77,2.77,2.44,2.47,"2,097,010","271,565,000"
"Oct 03, 2017",2.79,2.79,2.56,2.79,"2,010,710","273,586,000"
"Oct 02, 2017",2.89,2.94,2.72,2.79,"2,233,400","282,910,000"
"Oct 01, 2017",2.98,3.06,2.84,2.90,"2,113,520","291,895,000"
"Sep 30, 2017",2.75,3.19,2.72,2.98,"3,649,480","269,579,000"
"Sep 29, 2017",2.96,2.97,2.63,2.76,"2,004,570","290,145,000"
"Sep 28, 2017",3.25,3.25,2.80,2.96,"3,979,250","317,658,000"
"Sep 27, 2017",2.92,3.37,2.87,3.20,"6,734,210","285,733,000"
"Sep 26, 2017",3.13,3.18,2.93,2.93,"2,302,960","306,336,000"
"Sep 25, 2017",3.01,3.18,2.94,3.18,"2,507,850","294,241,000"
"Sep 24, 2017",3.16,3.17,2.96,3.03,"1,384,150","308,487,000"
"Sep 23, 2017",2.81,3.30,2.72,3.16,"3,176,420","274,618,000"
"Sep 22, 2017",2.72,3.04,2.61,2.82,"3,362,870","265,756,000"
"Sep 21, 2017",3.12,3.41,2.71,2.76,"4,539,530","304,477,000"
"Sep 20, 2017",3.25,3.50,3.04,3.12,"3,563,660","317,822,000"
"Sep 19, 2017",3.69,3.69,3.15,3.25,"5,472,230","360,621,000"
"Sep 18, 2017",3.33,3.87,3.33,3.69,"4,924,670","324,668,000"
"Sep 17, 2017",3.57,3.64,3.25,3.30,"4,469,220","348,108,000"
"Sep 16, 2017",3.91,4.12,3.51,3.61,"5,267,280","381,266,000"
"Sep 15, 2017",3.54,4.19,2.33,3.92,"20,170,900","345,368,000"
"Sep 14, 2017",3.56,4.60,3.41,3.49,"22,013,700","346,794,000"
"Sep 13, 2017",3.68,3.76,2.93,3.56,"9,608,180","358,740,000"
"Sep 12, 2017",3.71,4.19,3.36,3.71,"20,188,100","362,191,000"
"Sep 11, 2017",2.98,3.76,2.93,3.70,"12,146,100","290,064,000"
"Sep 10, 2017",2.83,3.01,2.65,2.97,"4,196,090","275,644,000"
"Sep 09, 2017",2.57,3.54,2.45,2.80,"9,962,400","250,099,000"
"Sep 08, 2017",2.66,2.90,2.38,2.56,"4,326,790","259,524,000"
"Sep 07, 2017",2.62,2.78,2.49,2.64,"2,700,250","254,693,000"
"Sep 06, 2017",2.51,2.84,2.45,2.62,"3,244,380","244,010,000"
"Sep 05, 2017",2.26,2.57,2.08,2.52,"1,776,050","220,314,000"
"Sep 04, 2017",2.59,2.70,2.06,2.25,"5,453,960","251,850,000"
"Sep 03, 2017",2.38,2.63,2.35,2.56,"2,255,030","231,789,000"
"Sep 02, 2017",2.54,2.67,2.28,2.37,"2,303,840","246,884,000"
"Sep 01, 2017",2.41,2.82,2.32,2.54,"4,122,500","234,085,000"
"Aug 31, 2017",2.35,2.51,2.27,2.40,"4,318,150","228,274,000"
"Aug 30, 2017",2.57,2.68,2.19,2.35,"5,004,070","250,075,000"
"Aug 29, 2017",2.63,2.92,2.39,2.58,"13,205,400","255,482,000"
"Aug 28, 2017",1.94,2.59,1.86,2.58,"7,556,820","188,150,000"
"Aug 27, 2017",1.71,1.98,1.64,1.98,"2,884,300","166,477,000"
"Aug 26, 2017",1.58,1.72,1.51,1.70,"1,618,050","153,282,000"
"Aug 25, 2017",1.59,1.69,1.51,1.60,"1,069,310","154,079,000"
"Aug 24, 2017",1.63,1.75,1.51,1.61,"1,954,910","158,393,000"
"Aug 23, 2017",1.75,1.78,1.56,1.64,"1,996,690","170,034,000"
"Aug 22, 2017",1.81,1.84,1.57,1.76,"2,036,910","175,589,000"
"Aug 21, 2017",1.65,1.95,1.63,1.80,"4,416,240","160,382,000"
"Aug 20, 2017",1.59,1.76,1.49,1.66,"2,744,590","154,318,000"
"Aug 19, 2017",1.56,1.73,1.42,1.60,"3,278,870","151,443,000"
"Aug 18, 2017",1.31,1.91,1.26,1.54,"7,336,600","127,431,000"
"Aug 17, 2017",1.58,1.60,1.31,1.31,"4,363,670","153,109,000"
"Aug 16, 2017",1.74,1.85,1.41,1.57,"8,270,920","168,867,000"
"Aug 15, 2017",1.67,2.64,1.27,1.74,"44,657,100","161,368,000"
"Aug 14, 2017",0.866589,1.66,0.866589,1.65,"10,106,400","83,950,300"
"Aug 13, 2017",0.933839,0.953176,0.822758,0.864372,"624,307","90,444,900"
"Aug 12, 2017",0.871213,0.978927,0.841406,0.934490,"573,574","84,360,600"
"Aug 11, 2017",0.896457,0.932160,0.764641,0.860478,"775,624","86,785,700"
"Aug 10, 2017",0.842733,0.926284,0.817412,0.914471,"662,916","81,566,400"
"Aug 09, 2017",0.823401,0.909446,0.783425,0.828754,"509,720","79,677,500"
"Aug 08, 2017",0.914686,0.960463,0.778556,0.825174,"724,982","88,491,100"
"Aug 07, 2017",0.947170,1.02,0.828681,0.897389,"1,315,710","91,613,300"
"Aug 06, 2017",0.874804,0.999465,0.837967,0.949787,"1,355,320","84,595,000"
"Aug 05, 2017",0.707177,0.898233,0.688658,0.897807,"587,640","68,369,900"
"Aug 04, 2017",0.646293,0.752933,0.628123,0.707285,"770,619","62,469,600"
"Aug 03, 2017",0.573553,0.683937,0.539361,0.641950,"501,667","55,426,300"
"Aug 02, 2017",0.599292,0.625107,0.519438,0.572554,"333,578","57,900,700"
"Aug 01, 2017",0.498475,0.648836,0.475918,0.599756,"361,058","48,149,500"
"Jul 31, 2017",0.481775,0.524638,0.450827,0.498209,"124,974","46,525,900"
"Jul 30, 2017",0.466613,0.522319,0.466613,0.488756,"156,471","45,051,700"
"Jul 29, 2017",0.432556,0.484437,0.424276,0.482604,"127,761","41,754,100"
"Jul 28, 2017",0.478940,0.484601,0.418387,0.433232,"254,754","46,221,200"
"Jul 27, 2017",0.472889,0.493758,0.457292,0.477502,"177,029","45,627,100"
"Jul 26, 2017",0.500589,0.518242,0.451905,0.471508,"150,950","48,288,900"
"Jul 25, 2017",0.585521,0.590894,0.452232,0.489873,"347,289","56,469,100"
"Jul 24, 2017",0.618907,0.624430,0.556116,0.585568,"185,587","59,675,600"
"Jul 23, 2017",0.665640,0.705653,0.609406,0.619801,"205,923","64,167,300"
"Jul 22, 2017",0.530168,0.681512,0.524532,0.666070,"344,713","51,096,400"
"Jul 21, 2017",0.558062,0.561702,0.501047,0.529633,"207,671","53,773,000"
"Jul 20, 2017",0.436034,0.573174,0.436034,0.554148,"220,995","42,005,400"
"Jul 19, 2017",0.464599,0.505762,0.419673,0.437227,"200,076","44,747,400"
"Jul 18, 2017",0.421945,0.510027,0.407220,0.464056,"255,701","40,630,200"
"Jul 17, 2017",0.331416,0.426279,0.327993,0.420824,"155,599","31,905,800"
"Jul 16, 2017",0.352863,0.377129,0.305414,0.331253,"153,520","33,962,900"
"Jul 15, 2017",0.417240,0.422777,0.342444,0.354008,"173,544","40,150,200"
"Jul 14, 2017",0.455284,0.514967,0.407751,0.417657,"383,376","43,801,300"
"Jul 13, 2017",0.442501,0.482534,0.409251,0.455235,"217,575","42,561,900"
"Jul 12, 2017",0.375625,0.445847,0.351579,0.437842,"226,778","36,121,400"
"Jul 11, 2017",0.399461,0.433222,0.357106,0.377272,"326,674","38,404,900"
"Jul 10, 2017",0.564284,0.576970,0.368436,0.400497,"468,959","54,238,500"
"Jul 09, 2017",0.629438,0.629438,0.557705,0.563219,"167,588","60,488,100"
"Jul 08, 2017",0.594016,0.636260,0.522935,0.628856,"330,703","57,071,300"
"Jul 07, 2017",0.694309,0.752558,0.546350,0.590936,"589,408","66,692,200"
"Jul 06, 2017",0.736626,0.822381,0.689673,0.693815,"1,066,380","70,741,000"
"Jul 05, 2017",0.587682,0.780625,0.587682,0.737247,"888,938","56,424,700"
"Jul 04, 2017",0.512924,0.614923,0.512924,0.588004,"309,673","49,236,000"
"Jul 03, 2017",0.530196,0.541457,0.499439,0.514206,"192,313","50,882,600"
"Jul 02, 2017",0.520005,0.537795,0.492602,0.533270,"255,691","49,887,300"
"Jul 01, 2017",0.537892,0.611410,0.510809,0.517894,"245,246","51,598,000"
"Jun 30, 2017",0.603661,0.606450,0.504267,0.537793,"490,715","57,894,100"
"Jun 29, 2017",0.637028,0.664139,0.568053,0.602494,"422,360","61,080,400"
"Jun 28, 2017",0.628074,0.642366,0.556997,0.637008,"537,452","60,208,300"
"Jun 27, 2017",0.611519,0.626007,0.510115,0.622580,"314,722","58,607,000"
"Jun 26, 2017",0.675433,0.705408,0.527041,0.592354,"579,463","64,719,000"
"Jun 25, 2017",0.702998,0.728472,0.653204,0.675781,"297,387","67,345,100"
"Jun 24, 2017",0.798535,0.811434,0.683321,0.704409,"721,702","76,480,000"
"Jun 23, 2017",0.704395,0.933881,0.700153,0.794548,"1,611,880","67,448,500"
"Jun 22, 2017",0.639323,0.725126,0.588885,0.701082,"489,304","61,203,800"
"Jun 21, 2017",0.687254,0.724148,0.602867,0.655538,"554,921","65,777,500"
"Jun 20, 2017",0.727534,0.735730,0.674989,0.687256,"483,794","69,617,000"
"Jun 19, 2017",0.723567,0.755331,0.700427,0.724142,"624,466","69,221,800"
"Jun 18, 2017",0.774487,0.781218,0.715230,0.730232,"339,220","74,076,500"
"Jun 17, 2017",0.780921,0.829922,0.747207,0.776891,"617,325","74,675,000"
"Jun 16, 2017",0.713226,0.843314,0.674560,0.786203,"640,541","68,186,300"
"Jun 15, 2017",0.741782,0.769013,0.605802,0.695326,"1,010,360","70,900,300"
"Jun 14, 2017",0.902977,0.951572,0.681836,0.737450,"904,505","86,288,000"
"Jun 13, 2017",0.731029,0.974376,0.706690,0.909663,"1,071,710","69,841,000"
"Jun 12, 2017",0.902614,0.924299,0.692443,0.733766,"1,064,460","86,214,300"
"Jun 11, 2017",0.899019,1.03,0.798268,0.895071,"930,274","85,851,500"
"Jun 10, 2017",1.06,1.10,0.898643,0.898643,"1,334,880","100,934,000"
"Jun 09, 2017",0.958541,1.09,0.903567,1.06,"1,746,520","91,494,200"
"Jun 08, 2017",0.956615,1.20,0.926788,0.978394,"2,639,960","91,286,100"
"Jun 07, 2017",0.804191,1.24,0.765574,0.980932,"5,115,610","76,726,600"
"Jun 06, 2017",0.701361,0.860576,0.534659,0.802881,"2,902,360","66,900,600"
"Jun 05, 2017",0.503212,0.741030,0.468821,0.695637,"1,403,630","47,988,900"
"Jun 04, 2017",0.433982,0.528325,0.401900,0.504721,"821,792","41,377,500"
"Jun 03, 2017",0.393194,0.494085,0.382464,0.418080,"1,354,590","37,480,100"
"Jun 02, 2017",0.300903,0.393328,0.300903,0.393328,"666,940","28,676,200"
"Jun 01, 2017",0.259862,0.322847,0.256984,0.299908,"375,718","24,759,400"
"May 31, 2017",0.228613,0.270740,0.224099,0.255542,"316,892","21,777,100"
"May 30, 2017",0.233314,0.249685,0.223939,0.225034,"133,268","22,219,800"
"May 29, 2017",0.235455,0.258048,0.222530,0.233070,"215,288","22,418,700"
"May 28, 2017",0.211511,0.257799,0.210411,0.235954,"192,770","20,134,300"
"May 27, 2017",0.276642,0.276642,0.190086,0.210256,"146,234","26,328,400"
"May 26, 2017",0.244352,0.286233,0.234587,0.275954,"156,192","23,250,200"
"May 25, 2017",0.320016,0.343062,0.235613,0.246158,"337,841","30,443,000"
"May 24, 2017",0.260071,0.353547,0.260071,0.319989,"501,980","24,734,800"
"May 23, 2017",0.231793,0.270211,0.231793,0.257509,"247,689","22,040,400"
"May 22, 2017",0.225178,0.245718,0.202165,0.232300,"244,907","21,406,500"
"May 21, 2017",0.207667,0.234192,0.189229,0.233752,"394,715","19,737,400"
"May 20, 2017",0.226983,0.233439,0.179201,0.209713,"309,731","21,568,300"
"May 19, 2017",0.202912,0.227341,0.194638,0.227229,"230,202","19,276,700"
"May 18, 2017",0.203506,0.216391,0.193854,0.205464,"181,591","19,328,700"
"May 17, 2017",0.184951,0.219241,0.162356,0.203615,"312,106","17,562,400"
"May 16, 2017",0.208725,0.216653,0.173056,0.184946,"203,477","19,815,400"
"May 15, 2017",0.225084,0.236451,0.205180,0.214224,"102,750","21,363,600"
"May 14, 2017",0.226391,0.248097,0.220992,0.224951,"98,640","21,482,700"
"May 13, 2017",0.203322,0.242105,0.190067,0.225917,"152,665","19,289,300"
"May 12, 2017",0.223414,0.233350,0.194000,0.203744,"217,923","21,190,600"
"May 11, 2017",0.223675,0.247231,0.215446,0.223192,"136,370","21,210,600"
"May 10, 2017",0.225466,0.235366,0.209885,0.223275,"174,829","21,375,500"
"May 09, 2017",0.243337,0.271290,0.223644,0.225317,"208,813","23,064,600"
"May 08, 2017",0.233968,0.256569,0.220322,0.255063,"257,530","22,171,500"
"May 07, 2017",0.253667,0.264378,0.229520,0.242743,"261,827","24,032,800"
"May 06, 2017",0.256964,0.267502,0.236549,0.260480,"245,266","24,339,600"
"May 05, 2017",0.228225,1.46,0.218331,0.252116,"541,310","21,612,500"
"May 04, 2017",0.229628,0.229820,0.202531,0.227263,"254,841","21,740,400"
"May 03, 2017",0.217948,0.237027,0.209044,0.230893,"175,582","20,629,900"
"May 02, 2017",0.192489,0.229468,0.183372,0.217935,"209,417","18,215,900"
"May 01, 2017",0.186488,0.203203,0.175743,0.189592,"207,712","17,644,000"
"Apr 30, 2017",0.199447,0.205320,0.178908,0.191533,"245,268","18,865,800"
"Apr 29, 2017",0.200178,0.211486,0.178798,0.199186,"326,622","18,930,600"
"Apr 28, 2017",0.169920,0.214837,0.169355,0.200024,"351,287","16,065,500"
"Apr 27, 2017",0.166729,0.181619,0.148962,0.168133,"291,969","15,630,800"
"Apr 26, 2017",0.179998,0.188531,0.166594,0.168810,"334,756","16,874,800"
"Apr 25, 2017",0.199849,0.207447,0.166290,0.181238,"294,670","18,735,800"
"Apr 24, 2017",0.183958,0.203630,0.149131,0.202400,"452,674","17,246,100"
"Apr 23, 2017",0.199504,0.215704,0.187165,0.187165,"168,056","18,703,500"
"Apr 22, 2017",0.242045,0.242987,0.200775,0.200775,"362,429","22,691,700"
"Apr 21, 2017",0.243008,0.253126,0.229602,0.241915,"192,799","22,782,000"
"Apr 20, 2017",0.257540,0.261264,0.220341,0.234283,"398,075","24,144,400"
"Apr 19, 2017",0.218179,0.259279,0.218179,0.259279,"574,558","20,454,300"
"Apr 18, 2017",0.250494,0.257121,0.207206,0.215159,"586,113","23,483,800"
"Apr 17, 2017",0.272217,0.295450,0.211993,0.250857,"2,678,840","25,520,300"
"Apr 16, 2017",0.246147,0.380502,0.234889,0.282905,"3,172,750","23,076,300"
"Apr 15, 2017",0.139997,0.265825,0.131534,0.245069,"1,361,360","13,124,700"
"Apr 14, 2017",0.128776,0.178591,0.126343,0.140296,"868,914","12,072,800"
"Apr 13, 2017",0.098063,0.128831,0.098063,0.128696,"421,108","9,193,380"
"Apr 12, 2017",0.085743,0.098499,0.081985,0.096037,"173,944","8,038,420"
"Apr 11, 2017",0.076408,0.087334,0.073991,0.085310,"114,827","7,163,270"
"Apr 10, 2017",0.076383,0.078174,0.071670,0.076384,"84,426","7,160,940"
"Apr 09, 2017",0.074158,0.081106,0.072209,0.076630,"88,377","6,952,270"
"Apr 08, 2017",0.068777,0.073861,0.066417,0.072692,"43,573","6,447,810"
"Apr 07, 2017",0.072001,0.075924,0.067256,0.069357,"57,981","6,750,130"
"Apr 06, 2017",0.059932,0.083225,0.059093,0.072120,"251,569","5,618,600"
"Apr 05, 2017",0.052962,0.061450,0.052015,0.059875,"54,116","4,965,150"
